,Kd.app
L-Aspartic acid-Mg,1769.557173
Glutathione-Mg,1000000
Glucose 1-P-Mg,3.763169
ATP-Mg,0.07484962
AMP-Mg,11.21770336
L-Alanine-Mg,7255.523909
L-Asparagine-Mg,1000000
Pyruvic acid-Mg,68.93358206
L-Aspartic acid-Mn,88.68794644
Glutathione-Mn,1000000
Glucose 1-P-Mn,7.337594753
ATP-Mn,0.012139187
AMP-Mn,3.859851692
L-Alanine-Mn,2347.841515
L-Asparagine-Mn,179.2118734
Pyruvic acid-Mn,76.39273023
L-Aspartic acid-Zn,0.599604107
Glutathione-Zn,0.249846521
Glucose 1-P-Zn,4.981900558
ATP-Zn,0.004832697
AMP-Zn,2.204130401
L-Alanine-Zn,1768.113376
L-Asparagine-Zn,179.2118734
Pyruvic acid-Zn,102.2179276
L-Aspartic acid-Ca,8868.794644
Glutathione-Ca,3781.580125
Glucose 1-P-Ca,14.53433127
ATP-Ca,0.104919513
AMP-Ca,12.44239405
L-Alanine-Ca,2953.719337
L-Asparagine-Ca,1000000
Pyruvic acid-Ca,107.7714213
